01211, 0.04, None, 6
08120, 0.075, None, 0.9
19165, 1.129, None, None
08084, 0.275, None, None
12220, 0.783, None, None
11675, 0.08, None, 5
11463, 0.155, None, None
01129, 0.6, 0.5, 1
04053, 0.411, None, None
12036, 0.59, None, None
"cod_liver_oil", 0.038, None, 1
20445, 0.045, None, 1.6
salt, 0.0001, None, None
09040, 0.1, None, 2
